DeSPAC Ticker,DeSPAC Company,SPAC Ticker/Name,Pre-Merger Name,Compl. Date,Comm. Rtrn %,Ann. Return %,Comm. Price,Comm. % Chg,Mkt. Cap,Warr. Status,Warr. Price,IPO Date,IPO Size (M),Target Focus,Prom. Leaders,Underwriters,Clos. PR Link,SEC Filings,Post-Close S-1 File Date,S-1 Effective Date,Warr. Ex. Date,Warr. Ex D.L.
RGTI,"Rigetti Computing, Inc.","SNII Supernova Partners Acquisition Co II, Ltd.",,3/2/2022,-24.40%,-23.90%,$7.56 ,10.80%,"$765,833,965 ",Warrants Trading,$1.40 ,3/1/2021,$345.00 ,Tech (Enterprise),"Spencer Rascoff (Co-founder/ Fmr CEO, Zi...",J.P. Morgan,Clos. PR Link,SEC Filings,,,4/2/2022,
QTEK,QualTek Services Inc.,ROCR Roth CH Acquisition III Co.,,2/14/2022,-71.20%,-69.90%,$2.88 ,8.70%,$0 ,Warrants Trading,$0.36 ,3/2/2021,$115.00 ,"Business Services, Consumer, Healthcare,...","Byron Roth (CEO, Roth)","Roth Capital Partners, Craig-Hallum Capi...",Clos. PR Link,SEC Filings,8/26/2021,2/15/2022,3/14/2022,
ISPO,Inspirato Incorporated,TVAC Thayer Ventures Acquisition Corp,,2/11/2022,41.10%,33.10%,$14.11 ,-7.50%,"$243,397,500 ",,,12/11/2020,$176.00 ,Travel and Transportation Tech,"Mark Farrell (Managing Director, Thayer ...","Stifel, Oppenheimer",Clos. PR Link,SEC Filings,2/2/2022,2/14/2022,3/11/2022,
NRGV,"Energy Vault, Inc.",NXU Novus Capital Corporation II,,2/11/2022,21.60%,19.80%,$12.16 ,4.00%,$0 ,Warrants Trading,$1.22 ,2/3/2021,$287.50 ,"Smart Tech, 5G communication, VR, AI, Cl...",Robert Laikin (Founder of L7 Investments...,Cowen,Clos. PR Link,SEC Filings,2/14/2022,,3/11/2022,
CPTN,"Cepton, Inc.",GCAC Growth Capital Acquisition Corp.,"Cepton Technologies, Inc.",2/10/2022,-19.10%,-17.30%,$8.09 ,-10.00%,"$1,246,248,328 ",Warrants Trading,$0.52 ,1/29/2021,$172.50 ,,Prokopios Tsirigakis (CEO of Nautilus En...,Maxim,Clos. PR Link,SEC Filings,11/3/2021,,3/10/2022,
BRCC,BRC Inc.,SBEA SilverBox Engaged Merger Corp I,Black Rifle Coffee Company (Authentic Brands LLC),2/9/2022,66.80%,64.70%,$16.68 ,4.50%,"$575,460,000 ",Warrants Trading,$2.90 ,2/25/2021,$345.00 ,,"Stephen Kadenacy (Former COO, AECOM)","Citigroup, Deutsche Bank Securities",Clos. PR Link,SEC Filings,,,3/9/2022,
QNGY,"Quanergy Systems, Inc.",CCAC CITIC Capital Acquisition Corp,,2/8/2022,-72.30%,-34.90%,$2.77 ,4.50%,$0 ,Warrants Trading,$0.34 ,2/11/2020,$276.00 ,"Energy Efficiency, Clean Tech, Sustainab...",,Credit Suisse,Clos. PR Link,SEC Filings,,,3/8/2022,
LFLY,Leafly Holdings Inc.,MCMJ Merida Merger Corp. I,,2/4/2022,-33.20%,-14.20%,$6.68 ,9.70%,"$100,080,248 ",,,11/5/2019,$130.00 ,Cannabis,,EarlyBirdCapital,Clos. PR Link,SEC Filings,,,3/4/2022,
FSRD,"Fast Radius, Inc.",ENNV ECP Environmental Growth Opportunities Corp.,,2/4/2022,-82.50%,-76.40%,$1.75 ,5.40%,"$60,375,000 ",,,2/8/2021,$345.00 ,"Sustainable energy production, Sustainab...","Doug Kimmelman (Founder, Energy Capital ...","Barclays, Morgan Stanley",Clos. PR Link,SEC Filings,,,3/4/2022,
ANGH,Anghami Inc.,VMAC Vistas Media Acquisition Company Inc.,,2/3/2022,18.40%,11.60%,$11.84 ,-0.30%,"$305,104,569 ",Warrants Trading,$0.70 ,8/7/2020,$100.00 ,"Media, Entertainment",,"I-Bankers, EarlyBirdCapital, US Tiger Se...",Clos. PR Link,SEC Filings,2/14/2022,,3/3/2022,
